,x,y,z,q0,q1,q2,q3,v_x,v_y,v_z,p,q,r,a_x,a_y,a_z
19,0.05615195317167156,0.00220013786379192,-0.7385248016775189,0.2573815173231265,0.042326823174711335,0.07302620604017436,0.9626164177967047,-0.08424536249695012,0.0061110789963039515,-0.39878346550580607,4.282592730927873,0.5245259547118294,33.25813740618344,-0.05559753496582953,-0.23579818420245835,-9.84137430894433
20,0.056067682281897326,0.0022061319450007986,-0.7389285048306304,0.24117829070656904,0.04384710619620086,0.07445342459635453,0.9666266864389539,-0.0842941080059773,0.005878010396710459,-0.40862181683736826,4.282303477567401,0.5246894661887394,33.258260539965384,-0.041745342987515865,-0.2302359283275961,-9.835231297982872
21,0.055983369656916006,0.0022118958211759343,-0.7393420432402484,0.2249160934851965,0.045353376451342485,0.07585779429367803,0.9703614878903217,-0.08432875561100675,0.005650751610752635,-0.41845395857967693,4.281997576118948,0.5248705827218035,33.258399930704854,-0.027429599122659076,-0.2241776288724011,-9.828968841741833
22,0.0558990296011577,0.0022174355488744292,-0.7397654106525194,0.2085953151068274,0.04684567498627737,0.07723964586287295,0.9738210895013218,-0.08434891802460578,0.005429794685346892,-0.42827981814294797,4.281675342348503,0.5250704489064222,33.25855646159293,-0.012804917105369684,-0.21763192795816444,-9.82268271528905
23,0.05581467675255777,0.0022227576850701427,-0.7401986007549223,0.19222237272258896,0.04832334770364329,0.07859810950459448,0.9770044783284848,-0.08435429099544063,0.005215661529922647,-0.4380993156887589,4.281335907914311,0.5252909239812592,33.258730735631104,0.002121683062225266,-0.2105287181922526,-9.81625774259792
24,0.05573032614050256,0.002227869395346096,-0.7406416069536624,0.17580016875588989,0.04978719257785996,0.07993323082763884,0.9799113300345451,-0.08434430273457393,0.0050091006262692715,-0.4479118204090363,4.280973829215724,0.5255371794875794,33.25892314085084,0.017901648699061856,-0.20247880741367053,-9.808690230069413
25,0.05564599336177015,0.002232778629043723,-0.7410944219617809,0.15933201007129888,0.051235978672594405,0.08124502972587125,0.9825413122108113,-0.08431867666571528,0.004810766845839361,-0.45771702864585173,4.280598644171981,0.5258037052587862,33.25913541431737,0.033367789749917165,-0.19407809792277253,-9.801688020044754
26,0.05556169391154558,0.0022374938066270647,-0.7415570387231429,0.14282065812620875,0.052669943121351204,0.08253362469329745,0.9848940742531535,-0.08427768265283911,0.00462106536088993,-0.4675153766529272,4.280208987279111,0.5260927428903875,33.25936810059403,0.048612374817932125,-0.1852156446783655,-9.794983859943802
27,0.05547744303178502,0.002242023793311032,-0.7420294505272901,0.12627078119142765,0.054088556362302746,0.08379835725544742,0.986969074089577,-0.08422158748576389,0.004440464106727195,-0.477307163694799,4.279805235490531,0.5264050417654301,33.25962164955943,0.06354655775388107,-0.1758788578095558,-9.788576414655974
28,0.055393255560047816,0.0022463778184339226,-0.7425116511936382,0.10968679354536473,0.055491026588201126,0.08503909622940348,0.9887658496339821,-0.08415102753067966,0.0042691103750920716,-0.4870933876065258,4.279395431881299,0.526734661200253,33.25989626007649,0.07751528445554956,-0.16673333934851575,-9.783888186862704
29,0.05530914553892256,0.0022505651137345265,-0.7430036358448371,0.09307285993731029,0.056877540668901265,0.0862555650833984,0.9902839823013855,-0.08406678520945184,0.004107054735732897,-0.49687524055575616,4.278973852627329,0.5270879370780375,33.2601922832602,0.09089042384637874,-0.15728619172319802,-9.779843125460507
30,0.05522512632373415,0.002254595092363457,-0.7435054004912681,0.07643340252424845,0.05824775094798994,0.08744760216087562,0.9915230967377312,-0.08396954448272953,0.003954490718574049,-0.5066535459585932,4.278543037431923,0.5274640426803828,33.26050980426485,0.10349274201529973,-0.1477569516813645,-9.776804746154347
31,0.05514121052230522,0.0022584772936838082,-0.7440169420681237,0.05977331319875329,0.05960125526442926,0.08861462778963305,0.9924828911078784,-0.0838600901706267,0.003811520795286554,-0.5164292473410074,4.278102899201883,0.527864518063616,33.26084905533424,0.11530027006997573,-0.13810368075306723,-9.774641954752617
32,0.05505740994404001,0.0022622213815761466,-0.7445382583877637,0.043097328543283464,0.0609376716334997,0.08975619343602165,0.9931631518477694,-0.08373923700845495,0.003678292582567376,-0.526203155007228,4.2776534901392615,0.5282907413196193,33.26121029273963,0.12627483592983113,-0.12827812243550096,-9.773219804422375
33,0.05497373555935273,0.0022658371729153757,-0.745069348034281,0.02641002554346265,0.062256638688727835,0.0908721647071197,0.9935637227533104,-0.08360785331897709,0.0035549452209553863,-0.5359760316430436,4.277195997717286,0.528743160592981,33.261593706211166,0.13634771034538457,-0.11834739903423919,-9.772581221256546
34,0.05489019745334425,0.0022693346940421536,-0.7456102102213437,0.009716382754126457,0.06355794937342428,0.09196178073753669,0.9936845625555436,-0.08346682471536424,0.0034418649117196262,-0.5457482158499412,4.276725810373831,0.5292291774063068,33.26200051906997,0.14555033122515187,-0.10774011853684173,-9.771820503919542
35,0.05480680481226491,0.0022727244795124504,-0.7461608442887485,-0.00697938887782761,0.06484115845045153,0.09302508480483496,0.9935256644388955,-0.08331709121881607,0.003339514196797101,-0.5555198673160742,4.276248093275683,0.5297443520241771,33.262430470942626,0.15374656835461217,-0.09689110009886137,-9.771509582509605
36,0.054723565829504654,0.002276017390211486,-0.7467212499023375,-0.023672622507811634,0.06610605487815842,0.09406160795714945,0.9930871111642542,-0.0831596838506456,0.0032481664005107845,-0.5652913560055641,4.275763158170739,0.530290370504157,33.26288405325969,0.1608883022808847,-0.08573588957600731,-9.771485537712607
37,0.0546404876513009,0.0022792243944207424,-0.7472914272769731,-0.040358843060246286,0.06735186606130267,0.09507114368170147,0.9923690682220765,-0.08299565576842419,0.003167560138243753,-0.5750636772038195,4.275282599248639,0.5308524784772204,33.26335898818596,0.16698830504947254,-0.07542723855382638,-9.773187925113236
38,0.0545575763864955,0.002282355839509029,-0.7478713780516368,-0.05703332277825973,0.0685783885149255,0.09605353269508647,0.9913717383395396,-0.08282602139223168,0.0030969371209810317,-0.5848383854855584,4.274804879982138,0.5314343742990215,33.26385563451047,0.17210250696119295,-0.06578487305356129,-9.776266939668012
39,0.05447483714362872,0.0022854214564014797,-0.7484611051840773,-0.07369163415719425,0.06978554534212417,0.09700854221183733,0.9900953809883564,-0.08265178165266031,0.0030358756613967468,-0.5946165015706367,4.274325847569004,0.5320447600656959,33.26437539340956,0.17619833464590648,-0.056311020564840164,-9.77999867283886
