-3.771040596169352166e-01,1.402310613628193314e+00
1.163606219453596768e-01,2.877109021460199756e+00
3.589335666589240859e+00,2.837114004083729490e+00
5.030867659110882073e+00,5.260975326300115995e+00
5.306052612004190649e+00,6.417843456197687146e+00
8.529859776266267346e+00,8.644957692980757002e+00
7.883336045841890183e+00,9.156690134292755801e+00
1.133592896813384066e+01,1.029898523837626989e+01
1.163245135295981569e+01,1.211350483145681700e+01
1.101369688964008908e+01,1.057939238953650118e+01
1.367854474848791213e+01,1.145557741850201516e+01
1.249873174338479842e+01,1.130424690353680184e+01
1.496557291532608325e+01,1.295703606022284227e+01
1.526636128706584650e+01,1.240842977003789116e+01
1.741720895579353012e+01,1.213543421341198325e+01
1.768271628152932351e+01,1.256449769601991129e+01
1.810240629612633612e+01,1.499907639264594650e+01
1.767100706053591352e+01,1.174702819522397235e+01
1.908576241877521440e+01,1.142654021725364366e+01
2.062090672062986130e+01,1.205049386380905752e+01
2.115796610543668166e+01,1.101412440201109177e+01
2.259214628381940670e+01,9.123591861951398485e+00
1.990178149781847594e+01,1.030925790470947945e+01
2.139643144674719011e+01,9.624374621151533304e+00
2.334694959573094764e+01,9.739987843741358731e+00
2.325487299726502499e+01,6.839485237106602611e+00
2.210036505208771018e+01,4.831098476255033525e+00
2.449387989575210867e+01,4.375618430886865973e+00
2.456392175240002018e+01,1.338176752335329400e+00
