6.514371771437216241e-01,5.402224301215439173e-01,1.030258491649460151e+00,8.327846847269329000e-01,3.454688337260855557e-01,4.325747956229087365e-01
3.654053696288864117e+00,3.112263614404652490e+00,1.008125942626375116e+00,7.179002828489732257e-01,4.309949695337809139e-01,5.466831990485345738e-01
5.392411084013908784e+00,4.871728906904547962e+00,9.619077274530285493e-01,6.881673050183395590e-01,5.982664253473071181e-01,4.104912235431480427e-01
7.311466336278893863e+00,5.584553597637249567e+00,7.996249629596549058e-01,2.539204849226290861e-01,8.866001699596164354e-01,3.866064225594759152e-01
8.785728151705193056e+00,7.469664584204611657e+00,3.880006367530388633e-01,2.057774517880614495e-01,9.133349273217653552e-01,3.513900267078701734e-01
9.256830503546044753e+00,8.239670601192107924e+00,2.565018465309484297e-01,3.098817923183653233e-01,8.618678785250326602e-01,4.014436881510494715e-01
9.780276095950425130e+00,8.578135200312832609e+00,3.159600759265317194e-02,3.291306176449126930e-01,8.568509783429572035e-01,3.968367894253195249e-01
1.099828114716178895e+01,7.916676833415919212e+00,-2.900629547674054565e-01,1.937856086342467921e-01,9.402278082708471763e-01,2.800335809156709321e-01
1.088679133532217413e+01,8.162030950680186692e+00,-6.772090403670856240e-01,2.777991583566195577e-01,9.561224471854000706e-01,9.304565333510010638e-02
1.050119076650315364e+01,7.241880524569163313e+00,-8.918741856675369561e-01,7.620140578754264205e-02,7.971809187624691040e-01,-5.989122878327243216e-01
1.072526221239246880e+01,7.601757678758256809e+00,-7.981332786947474833e-01,2.886535021081870767e-01,8.838683281397834435e-01,-3.680433863446846421e-01
1.099808733591752663e+01,6.809393238673008497e+00,-8.572423581411598992e-01,-7.975839748944829957e-03,6.038969841082625356e-01,-7.970224705522700459e-01
1.090230590976287317e+01,6.480704449496766273e+00,-5.804089257693857418e-01,-3.955945261925575829e-01,3.034701174110926991e-01,-8.668395807097085681e-01
1.101611071784344809e+01,5.738690242025078270e+00,-5.010073072437064567e-01,-3.606315122482783853e-01,-8.201359690101985012e-02,-9.290956260239722209e-01
1.075715272101835929e+01,3.985905207857621591e+00,-3.143467252223288710e-01,-7.678871451132410764e-01,-1.074747206593890114e-01,-6.315049618087118510e-01
1.043884228261593883e+01,3.188442035821913656e+00,-2.405433151574966621e-01,-7.854654705646606505e-01,-2.896231379643894877e-01,-5.469574320788560540e-01
9.575527654287929735e+00,2.231732143336209173e+00,-2.812596278215460932e-02,-8.648457652006210639e-01,-2.606418958818009224e-01,-4.290776206302219786e-01
9.649886770205119646e+00,1.888276895478879780e-02,1.034397134543244834e-01,-9.229518203495657991e-01,-1.353883499093505860e-01,-3.603192085113502974e-01
