0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,3.000000000000000000e+01,2.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
3.884781970611673740e-01,5.786846645631595898e-01,4.836732138379097878e-01,9.993006352058716457e-01,1.002856940530033082e-02,3.010424629101002975e-02,1.978389042223240371e-02,1.887015148789681618e+01,2.790978025260911011e+01,2.339702921121635271e+01,1.006856578055885354e+00,3.021841025398898317e+00,1.957841795118758554e+00
7.556236253267930580e-01,1.117903706854566970e+00,9.369688011114645221e-01,9.972057266671290332e-01,2.009822261869614185e-02,6.038354195298466232e-02,3.912323326617855868e-02,1.786319640529902841e+01,2.604691334980320150e+01,2.195754224641492414e+01,1.014366628594293607e+00,3.042346886916798887e+00,1.916564049561051863e+00
1.103697920387900933e+00,1.621841152717616863e+00,1.362895174024603806e+00,9.937214826715533578e-01,3.018568438148638844e-02,9.078780789819920760e-02,5.800010614870543951e-02,1.696021661804068970e+01,2.437640074337527807e+01,2.065635130795770991e+01,1.022543795819868206e+00,3.061558157333773345e+00,1.876183486085876595e+00
1.434622953257235434e+00,2.094052463525885699e+00,1.764008369488609951e+00,9.888559846429252342e-01,4.026875365898040932e-02,1.212671435257758473e-01,7.639730182996068431e-02,1.614598593623742318e+01,2.287007398203923358e+01,1.947318322911950261e+01,1.031401416913890090e+00,3.079513762217267914e+00,1.836714196637136087e+00
1.750045623245820359e+00,2.537584403004768063e+00,2.142498300402458700e+00,9.826191465673820291e-01,5.032629745499692109e-02,1.517719038199697723e-01,9.429827243038733930e-02,1.540811128456607015e+01,2.150500587644723183e+01,1.839153626355844651e+01,1.040952549865979515e+00,3.096250887632810755e+00,1.798167826009262615e+00
2.051387904282504504e+00,2.955067622922634030e+00,2.500255377429571269e+00,9.750226759774091034e-01,6.033823945739488770e-02,1.822527732104921028e-01,1.116870759194712875e-01,1.473640294938192952e+01,2.026234545635657369e+01,1.739784180829589744e+01,1.051209998909083509e+00,3.111804900467574964e+00,1.760553749396640111e+00
2.339885997286526020e+00,3.348789094980073600e+00,2.838922629643435780e+00,9.660800364844754906e-01,7.028554390984009803e-02,2.126608363692395198e-01,1.285483251331757115e-01,1.412240565108077206e+01,1.912645045449943382e+01,1.648084020785940140e+01,1.062186337327573504e+00,3.126209280124701007e+00,1.723879243224641700e+00
2.616621315786354707e+00,3.720749434204756678e+00,3.159936954326942882e+00,9.558064118312904478e-01,8.015019508829493433e-02,2.429476461124392417e-01,1.448671395438334564e-01,1.355904448128796247e+01,1.808423229038273661e+01,1.563110945990991674e+01,1.073893927426735617e+00,3.139495560399379048e+00,1.688149648796501090e+00
2.882545267270946621e+00,4.072708744451252194e+00,3.464562108278254726e+00,9.442186714178875118e-01,8.991517274359743517e-02,2.730652885705906474e-01,1.606290999763702598e-01,1.304035416650395796e+01,1.712465520803232977e+01,1.484070484042870675e+01,1.086344937466962035e+00,3.151693280408158770e+00,1.653368528411085947e+00
3.138499263696122199e+00,4.406223637837826779e+00,3.753915348719007117e+00,9.313353372418933240e-01,9.956442385432265341e-02,3.029664457810403166e-01,1.758202064380123830e-01,1.256126964282955427e+01,1.623834883923468553e+01,1.410288014296888193e+01,1.099551355377721862e+00,3.162829943508970398e+00,1.619537813712717433e+00
3.385231022481308027e+00,4.722677391590421436e+00,4.028989136600674037e+00,9.171765521820770539e-01,1.090828310171954307e-01,3.326044558498755244e-01,1.904268392049510150e-01,1.211746233215541046e+01,1.541730531448751762e+01,1.341186975343390664e+01,1.113524999075092614e+00,3.172930983219374390e+00,1.586657946126385221e+00
3.623407953692038497e+00,5.023304714330273590e+00,4.290668961501669543e+00,9.017640495452681204e-01,1.184561777858966769e-01,3.619333708213222645e-01,2.044357232886318543e-01,1.170521089270140358e+01,1.465464015149760435e+01,1.276271661556125636e+01,1.128277523212482425e+00,3.182019735213299949e+00,1.554728009311008519e+00
3.853628236831976750e+00,5.309212238139159545e+00,4.539748091367840743e+00,8.851211237896586814e-01,1.276711112533816250e-01,3.909080123842163523e-01,2.178338963862337663e-01,1.132129826200926637e+01,1.394440178471714908e+01,1.215113519589515789e+01,1.143820422197409092e+00,3.190117414550935226e+00,1.523745853630808167e+00
4.076430049726956106e+00,5.581395591994870564e+00,4.776939862736958808e+00,8.672726023320638244e-01,1.367151021579738335e-01,4.194840255365630544e-01,2.306086804043047112e-01,1.096292895695862235e+01,1.328141857037345730e+01,1.157340141427511071e+01,1.160165029308070528e+00,3.197243097371614606e+00,1.493708212701423621e+00
